Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Brian Rogers,2008-06-10,Detroit Tigers,PIT,25,-0.3,2,13,0,0,0,0,0,0,0,,,,,0,0,9.28,1.594,13,0,0,10.2,14,4,3,8,rogerbr01
2,Scott Munter,2008-06-01,San Francisco Giants,SFG,28,0.1,3,79,1,1,1,0,1,0,0,1.000,1.000,2.000,3.000,3,2,4.75,1.639,84,0,0,72.0,84,2,34,22,muntesc01
3,Kevin Mench,2008-05-09,Toronto Blue Jays,MIL,30,2.4,6,651,2220,291,601,89,320,10,167,.271,.326,.465,.792,,,,,,,,,,,,,menchke01
4,Victor Diaz,2008-05-08,Seattle Mariners,TEX,26,0.7,4,147,446,62,114,24,73,6,32,.256,.309,.487,.796,,,,,,,,,,,,,diazvi01
5,Bronson Sardinha,2008-05-06,Cleveland Indians,NYY,25,0.0,1,10,9,6,3,0,2,0,2,.333,.417,.333,.750,,,,,,,,,,,,,sardibr01
6,Greg Norton,2008-05-05,Atlanta Braves,TBD,35,0.8,11,895,2147,283,540,82,296,15,270,.252,.336,.426,.762,,,,,,,,,,,,,nortogr01
7,Matt Miller,2008-05-03,Pittsburgh Pirates,CLE,36,1.5,5,11,0,0,0,0,0,0,0,,,,,6,1,2.72,1.189,100,0,2,106.0,82,4,44,95,millema02
8,Josh Labandeira,2008-04-22,,FLA,29,,3,,,,,,,,,,,,,,,,,,,,,,,,,labanjo01
9,Rich Thompson,2008-04-22,Philadelphia Phillies,ARI,29,,1,6,1,1,0,0,0,1,0,.000,.000,.000,.000,,,,,,,,,,,,,thompri02
10,Eude Brito,2008-04-21,New York Mets,PHI,29,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,,britoeu01
11,Jeff Weaver,2008-04-16,Milwaukee Brewers,SEA,31,0.8,9,101,190,13,39,0,13,0,6,.205,.234,.247,.481,93,114,4.72,1.356,284,267,2,1714.2,1862,215,463,1124,weaveje01
12,Sal Fasano,2008-04-11,Atlanta Braves,TOR,36,0.4,10,412,1063,131,233,47,134,2,69,.219,.293,.394,.687,,,,,,,,,,,,,fasansa01
13,Casey Fossum,2008-04-08,Detroit Tigers,SDP,30,-0.8,7,41,46,3,4,0,0,0,1,.087,.106,.087,.193,37,52,5.46,1.515,203,120,2,740.2,825,110,297,576,fossuca01
14,Josh Paul,2008-04-07,Houston Astros,TBD,33,0.3,9,321,713,92,174,10,73,13,59,.244,.303,.341,.643,,,,,,,,,,,,,pauljo01
15,Craig Wilson,2008-04-07,Pittsburgh Pirates,CHW,31,-0.4,7,698,2010,303,527,99,292,14,198,.262,.353,.474,.827,,,,,,,,,,,,,wilsocr03
16,Jeff DaVanon,2008-04-04,Chicago White Sox,OAK,34,1.1,8,528,1288,205,333,33,150,59,185,.259,.349,.400,.749,,,,,,,,,,,,,davanje02
17,Jesse Garcia,2008-04-04,Chicago Cubs,HOU,34,-0.1,8,,,,,,,,,,,,,,,,,,,,,,,,,garcije01
18,Alex Cintron,2008-04-03,Baltimore Orioles,CHW,29,-2.8,7,598,1897,231,525,32,212,18,103,.277,.315,.401,.715,,,,,,,,,,,,,cintral01
19,Randy Keisler,2008-04-02,Chicago Cubs,STL,32,-0.5,6,31,25,4,5,1,2,0,0,.200,.200,.400,.600,4,4,6.63,1.712,55,20,0,150.2,174,32,84,100,keislra01
20,Andy Cavazos,2008-04-01,Chicago Cubs,STL,27,-0.9,1,15,0,0,0,0,0,0,0,,,,,0,0,10.35,2.150,17,0,0,20.0,27,5,16,15,cavazan01
21,Vladimir Núñez,2008-04-01,Atlanta Braves,CHW,33,,7,220,59,3,8,1,5,0,1,.136,.150,.186,.336,20,32,4.83,1.406,230,27,21,408.1,396,53,178,302,nunezvl01
22,Mike Burns,2008-03-31,Chicago Cubs,BOS,29,-0.3,2,36,0,0,0,0,0,0,0,,,,,0,0,5.88,1.558,45,0,0,52.0,69,8,12,36,burnsmi01
23,Wilkin Ruan,2008-03-31,Los Angeles Dodgers,LAD,29,,5,,,,,,,,,,,,,,,,,,,,,,,,,ruanwi01
24,Rudy Seanez,2008-03-31,Philadelphia Phillies,LAD,39,2.3,16,365,5,1,0,0,0,0,1,.000,.167,.000,.167,36,26,4.15,1.410,502,0,12,522.2,477,56,260,544,seaneru01
25,Jorge Velandia,2008-03-31,Toronto Blue Jays,TBD,33,1.0,7,164,229,20,43,2,23,2,25,.188,.275,.271,.546,,,,,,,,,,,,,velanjo01
26,Chris Michalak,2008-03-30,Texas Rangers,WSN,37,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,michach01
27,R.A. Dickey,2008-03-29,Seattle Mariners,MIL,33,-0.6,5,3,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,16,19,5.72,1.568,77,33,2,266.0,321,46,96,171,dicker.01
28,Ben Hendrickson,2008-03-29,,KCR,27,-0.7,3,,,,,,,,,,,,,,,,,,,,,,,,,hendrbe01
29,Matt Kata,2008-03-29,Pittsburgh Pirates,PIT,30,-1.4,4,238,645,87,156,12,58,8,48,.242,.296,.381,.677,,,,,,,,,,,,,katama01
