Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Anaheim Angels,45,27.6,5.33,162,6373,5628,864,1574,309,34,236,837,93,52,608,1024,.280,.352,.472,.825,105,2659,126,47,47,43,43,1173
Arizona Diamondbacks,41,30.8,4.89,162,6241,5527,792,1466,282,44,179,756,97,44,535,975,.265,.333,.429,.763,88,2373,114,59,61,58,37,1128
Atlanta Braves,47,30.8,5.00,162,6275,5489,810,1490,274,26,179,758,148,56,595,1010,.271,.346,.429,.775,95,2353,127,59,87,45,38,1192
Baltimore Orioles,50,32.1,4.90,162,6238,5549,794,1508,310,22,184,750,126,65,558,900,.272,.341,.435,.776,100,2414,148,49,27,54,34,1129
Boston Red Sox,52,29.3,4.89,162,6371,5630,792,1503,316,32,167,755,43,30,611,1019,.267,.341,.423,.764,90,2384,115,42,40,48,40,1226
Chicago Cubs,51,30.7,4.72,162,6397,5577,764,1426,272,23,183,722,93,37,632,1120,.256,.335,.411,.746,90,2293,114,54,89,45,50,1215
Chicago White Sox,42,27.6,6.04,162,6410,5646,978,1615,325,33,216,926,119,42,591,960,.286,.356,.470,.826,106,2654,140,53,55,61,28,1127
Cincinnati Reds,45,29.2,5.06,163,6373,5635,825,1545,302,36,200,794,100,38,559,995,.274,.343,.447,.790,96,2519,137,64,56,58,60,1189
Cleveland Indians,55,30.1,5.86,162,6512,5683,950,1639,310,30,221,889,113,34,685,1057,.288,.367,.470,.837,110,2672,134,51,41,52,27,1260
Colorado Rockies,49,29.2,5.98,162,6453,5660,968,1664,320,53,161,905,131,61,601,907,.294,.362,.455,.816,87,2573,126,42,75,75,64,1198
Detroit Tigers,45,29.0,5.08,162,6343,5644,823,1553,307,41,177,785,83,38,562,982,.275,.343,.438,.781,102,2473,142,43,42,49,22,1185
Florida Marlins,40,26.1,4.54,161,6203,5509,731,1441,274,29,160,691,168,55,540,1184,.262,.331,.409,.740,91,2253,100,60,42,51,39,1168
Houston Astros,46,29.1,5.79,162,6444,5570,938,1547,289,36,249,900,114,52,673,1129,.278,.361,.477,.837,104,2655,154,83,57,61,57,1171
Kansas City Royals,44,27.6,5.43,162,6394,5709,879,1644,281,27,150,831,121,35,511,840,.288,.348,.425,.773,93,2429,139,48,56,70,28,1184
Los Angeles Dodgers,46,29.6,4.93,162,6312,5481,798,1408,265,28,211,756,95,42,668,1083,.257,.341,.431,.771,99,2362,129,51,66,46,42,1188
Milwaukee Brewers,46,28.9,4.54,163,6355,5563,740,1366,297,25,177,708,72,44,620,1245,.246,.325,.403,.729,85,2244,126,61,61,49,47,1183
Minnesota Twins,41,26.4,4.62,162,6283,5615,748,1516,325,49,116,711,90,45,556,1021,.270,.337,.407,.744,85,2287,143,35,24,51,31,1198
Montreal Expos,49,26.2,4.56,162,6153,5535,738,1475,310,35,178,705,58,48,476,1048,.266,.326,.432,.758,87,2389,111,29,78,34,53,1100
New York Mets,47,30.4,4.98,162,6328,5486,807,1445,281,20,198,761,66,46,675,1037,.263,.346,.430,.776,98,2360,122,45,70,51,42,1214
New York Yankees,46,31.4,5.41,161,6311,5556,871,1541,294,25,205,833,99,48,631,1007,.277,.354,.450,.804,103,2500,134,57,16,50,42,1189
Oakland Athletics,44,27.3,5.88,161,6432,5560,947,1501,281,23,239,908,40,15,750,1159,.270,.360,.458,.817,109,2545,147,52,26,44,32,1210
Philadelphia Phillies,51,28.6,4.37,162,6273,5511,708,1386,304,40,144,668,102,30,611,1117,.251,.329,.400,.729,83,2202,115,44,70,37,40,1209
Pittsburgh Pirates,46,28.3,4.90,162,6369,5643,793,1506,320,31,168,749,86,40,564,1032,.267,.339,.424,.762,92,2392,133,66,59,37,41,1202
San Diego Padres,56,28.6,4.64,162,6291,5560,752,1413,279,37,157,714,131,53,602,1177,.254,.330,.402,.732,91,2237,123,46,39,43,50,1155
Seattle Mariners,37,31.3,5.60,162,6444,5497,907,1481,300,26,198,869,122,56,775,1073,.269,.361,.442,.803,108,2427,129,48,63,61,34,1247
San Francisco Giants,36,29.9,5.71,162,6418,5519,925,1535,304,44,226,889,79,39,709,1032,.278,.362,.472,.834,115,2605,131,51,73,66,60,1213
St. Louis Cardinals,46,29.6,5.48,162,6369,5478,887,1481,259,25,235,841,87,51,675,1253,.270,.356,.455,.812,103,2495,116,84,79,53,33,1214
Tampa Bay Devil Rays,51,30.1,4.55,161,6206,5505,733,1414,253,22,162,692,90,46,558,1022,.257,.329,.399,.728,85,2197,126,51,52,40,25,1140
Texas Rangers,42,29.5,5.23,162,6364,5648,848,1601,330,35,173,806,69,47,580,922,.283,.352,.446,.798,100,2520,161,39,48,48,39,1198
Toronto Blue Jays,45,28.1,5.31,162,6326,5677,861,1562,328,21,244,826,89,34,526,1026,.275,.341,.469,.810,101,2664,130,60,29,34,32,1152
League Average,41,29.1,5.14,162,6342,5576,832,1508,297,32,190,791,97,44,608,1045,.270,.345,.437,.782,97,2438,130,52,54,50,40,1185
