Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,45,4.92,.689,60,540,430,4665.0,2064,1555,474,35,54,.983,4,1,0,-1,0
Atlanta Braves,48,4.80,.692,60,540,400,4719.0,2140,1573,533,34,52,.984,-7,-2,-7,-2,0
Baltimore Orioles,45,4.90,.698,60,540,379,4668.0,2110,1556,511,43,42,.980,20,5,1,-1,-5
Boston Red Sox,47,5.85,.647,60,540,415,4716.0,2137,1570,522,45,59,.979,-25,-6,0,-3,-3
Chicago Cubs,45,4.00,.708,60,540,356,4665.0,2144,1555,559,30,46,.986,32,8,28,1,1
Chicago White Sox,46,4.10,.712,60,540,433,4743.0,2142,1582,520,40,48,.981,21,5,30,7,-4
Cincinnati Reds,43,4.05,.707,60,540,395,4536.0,1981,1512,442,27,36,.986,-7,-2,4,0,1
Cleveland Indians,39,3.48,.701,60,540,407,4824.0,2133,1605,498,30,46,.986,19,5,29,1,1
Colorado Rockies,40,5.88,.675,60,540,385,4737.0,2255,1579,633,43,78,.981,9,2,19,1,2
Detroit Tigers,44,5.48,.690,58,522,389,4431.0,2008,1477,502,29,46,.986,-3,-1,-13,-3,0
Houston Astros,42,4.58,.703,60,540,431,4716.0,2138,1572,546,20,48,.991,11,3,11,0,2
Kansas City Royals,48,4.53,.683,60,540,381,4653.0,2085,1551,503,31,62,.985,2,1,-3,0,3
Los Angeles Angels,45,5.35,.698,60,540,425,4728.0,2084,1569,479,36,36,.983,-18,-5,-24,0,3
Los Angeles Dodgers,38,3.55,.729,60,540,404,4848.0,2200,1616,544,40,46,.982,33,8,28,0,-1
Miami Marlins,61,5.07,.686,60,540,374,4536.0,2101,1512,549,40,60,.981,-15,-4,1,1,-2
Milwaukee Brewers,43,4.40,.687,60,540,371,4656.0,2081,1552,494,35,45,.983,-12,-3,-10,0,3
Minnesota Twins,42,3.58,.703,60,540,416,4620.0,2019,1540,459,20,39,.990,13,3,22,-1,-2
New York Mets,46,5.13,.668,60,540,369,4620.0,2066,1540,494,32,39,.985,-33,-9,-16,-5,-4
New York Yankees,42,4.50,.695,60,540,384,4506.0,2022,1502,472,48,37,.976,1,0,1,0,0
Oakland Athletics,37,3.87,.703,60,540,414,4638.0,2062,1543,493,26,33,.987,3,1,-17,-5,2
Philadelphia Phillies,46,5.18,.642,60,540,395,4473.0,2063,1491,536,36,57,.983,-38,-10,-32,-1,-1
Pittsburgh Pirates,49,4.97,.697,60,540,428,4617.0,2097,1539,511,47,53,.978,3,1,24,0,2
San Diego Padres,46,4.02,.695,60,540,408,4683.0,2096,1561,502,33,46,.984,9,2,5,0,-4
Seattle Mariners,48,5.05,.708,60,540,425,4650.0,2079,1549,507,23,48,.989,-2,-1,14,0,-2
San Francisco Giants,44,4.95,.699,60,540,373,4659.0,2086,1553,491,42,43,.980,3,1,4,0,2
St. Louis Cardinals,44,3.95,.731,58,522,374,4257.0,1941,1419,489,33,46,.983,25,7,36,1,3
Tampa Bay Rays,43,3.82,.693,60,540,355,4749.0,2154,1584,537,33,52,.985,11,3,26,2,-1
Texas Rangers,49,5.20,.704,60,540,430,4650.0,2057,1550,467,40,40,.981,7,2,10,0,1
Toronto Blue Jays,48,5.20,.681,60,540,396,4722.0,2148,1575,534,39,47,.982,5,1,-34,-1,1
Washington Nationals,43,5.02,.664,60,540,435,4533.0,2012,1511,462,39,48,.981,-20,-5,-48,-1,0
League Average,43,4.65,.693,60,539,399,4641,2090,1546,509,35,48,.983,2,0,3,0,-0
